stationId,statePostalCode,placeName,latitude,longitude,LandUseType,pAG,pURB,pFOR,TN,TP,NO3,NH4
5451075,IA,"SOUTH FORK IOWA RIV AT 180TH ST NR BLAIRSBURG, IA",42.528,-93.624,Agricultural,91.6923508,0.291398152,0.134491454,12.481,0.0525,11.124,0.02
5432927,WI,"PLEASANT VALLEY CREEK @ CTH H NR BLANCHARDVILLE,WI",42.874,-89.799,Agricultural,70.13669632,0.848521814,21.191518369999997,4.626,0.0897,4.345,0.02
5553500,IL,"ILLINOIS RIVER AT OTTAWA, IL",41.338,-88.852,Agricultural,60.79898833,17.988889684,7.695281792,6.7364999999999995,0.622,5.334,0.04
3575100,AL,"FLINT RIVER AT BROWNSBORO, AL",34.749,-86.446,Agricultural,61.80807085,2.7638534769999996,19.865563399,1.811,0.0505,1.661,0.02
1487116,DE,"STONY BR AT HARDSCRABBLE, DE",38.624,-75.473,Agricultural,59.694555118,1.885790173,20.411686589,3.496,0.02475,3.269,0.034
462000000000000,WA,"GWSW ACTSW1-1 AT DR2 NR GRANGER, WA",46.339,-120.132,Agricultural,89.21096030000001,4.896612965,0,3.822,0.33599999999999997,3.1525,0.04
12070000,WA,"DOGFISH CREEK NEAR POULSBO, WA",47.752,-122.644,Forest,1.743585328,20.832615804,50.374547957000004,0.714,0.0757,0.47,0.02
334000000000000,SC,B-LB-2-S,33.721,-81.606,Forest,12.293328806,0.537543145,50.998698581,0.329,0.0127,0.054,0.012
10168000,UT,LITTLE COTTONWOOD CREEK @ JORDAN RIVER NR SLC,40.663,-111.901,Forest,0.13984934,16.575149715000002,52.802134626999994,0.8645,0.0498,0.4275,0.02148
334000000000000,SC,CREEKLET RIGHT BANK,33.721,-81.606,Forest,12.293328806,0.537543145,50.998698581,0.40549999999999997,0.012549999999999999,0.0865,0.04627
131199010,NY,SIXMILE BROOK AT 28N NEAR LONG LAKE NY,43.975,-74.361,Forest,0,0,85.941283295,0.46900000000000003,0.013649999999999999,0.08299999999999999,0.02
7055893,AR,"CALF CREEK NEAR SILVER HILL, AR",35.967,-92.775,Forest,30.63139866,0.088323618,63.680560354,0.41000000000000003,0.029400000000000003,0.26749999999999996,0.0379
12150495,WA,"CHERRY CREEK BELOW MARGARET CREEK NEAR DUVALL, WA",47.742,-121.941,Forest,0.105494663,1.8917517480000001,79.063779579,0.437,0.0127,0.31899999999999995,0.02
7053203,AR,"LONG CREEK SOUTHEAST OF DENVER, AR",36.364,-93.27,Forest,35.287042018,0.59478436,57.622401099,0.956,0.0247,0.7755000000000001,0.021545
131199020,NY,SIXMILE BROOK TRIBUTARY NEAR LONG LAKE NY,43.991,-74.351,Forest,0,0,88.971574962,0.359,0.01175,0.058499999999999996,0.018805000000000002
7050228,AR,"PINEY CREEK NEAR CABANOL, AR",36.268,-93.635,Forest,28.617634551,0.41963794000000004,64.91004272800001,0.5549999999999999,0.00915,0.505,0.02276
14205400,OR,"EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR",45.682,-123.069,Forest,0.603894503,0.166379098,58.668145588,0.616,0.0371,0.437,0.04
1095220,MA,"STILLWATER RIVER NEAR STERLING, MA",42.41,-71.791,Forest,7.803736204,3.195675773,71.970553641,0.417,0.0112,0.208,0.04
11049400,CA,SANTA ANA R AB SEVEN OAKS DAM,34.142,-117.069,Forest,0.019461108,4.683279484,52.10297088,0.268,0.0108,0.188,0.04
2214315,GA,"SAVAGE CREEK AT CR 87, NEAR WESTLAKE, GA",32.553,-83.498,Forest,3.760015744,0.751778234,77.014253981,0.4535,0.035199999999999995,0.098,0.0455
11335000,CA,COSUMNES R A MICHIGAN BAR CA,38.5,-121.045,Forest,0.465214757,0.337204385,67.883815164,0.115,0.0101,0.06,0.04
9095300,CO,"DRY FORK AT UPPER STATION, NEAR DE BEQUE CO.",39.374,-108.317,Forest,2.753979488,0,60.76244399,0.605,0.0862,0.06,0.04
1311989,NY,FISHING BROOK NEAR LONG LAKE NY,43.972,-74.328,Forest,0,0,90.323354018,0.35,0.013,0.1075,0.012719999999999999
12121600,WA,"ISSAQUAH CREEK NEAR MOUTH NEAR ISSAQUAH, WA",47.552,-122.047,Forest,2.366156638,13.060483744999999,68.493382139,0.7605,0.0218,0.6305000000000001,0.01769
6929315,MO,"PADDY CREEK ABOVE SLABTOWN SPRING, MO",37.558,-92.048,Forest,7.394595566,0.13252768499999998,88.503784895,0.069,0.0047,0.045,0.01
6926250,MO,"LITTLE TAVERN CR. NR ST. ELIZABETH, MO",38.268,-92.214,Forest,40.206350822,0.112210548,52.875941767,0.227,0.0331,0.135,0.01328
1311951,NY,HUDSON RIVER NEAR WINEBROOK HILLS NY,43.958,-74.093,Forest,0.006761836,0.096256728,84.95531222000001,0.277,0.0028,0.113,0.04
7064780,MO,"BARREN FORK NEAR TIMBER, MO",37.346,-91.39,Forest,5.467424787,0.010177634,89.36776540199999,0.068,0.003,0.053000000000000005,0.00826
3340000000000,SC,MCTIER CREEK ABOVE GULLY CREEK NEAR NEW HOLLAND SC,33.741,-81.596,Forest,13.095238095,0.57008719,52.653420524,0.481,0.0248,0.194,0.02
2223900,GA,"TURKEY CREEK AT OLD HAWKINSVILLE RD, NR DUDLEY, GA",32.571,-83.08,Forest,13.544514192000001,0.5133981299999999,66.090833923,0.6020000000000001,0.05205,0.2615,0.0435
9163500,CO,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,39.132,-109.027,Forest,4.131072658,0.8204846650000001,53.773579481,0.907,0.1189,0.49631,0.04
5337590,MN,"GROUNDHOUSE RIVER ABOVE OGILVIE, MN",45.847,-93.445,Forest,12.85027949,0.023316174,57.260840482999996,1.2405,0.08549999999999999,0.035,0.014769999999999998
1170100,MA,"GREEN RIVER NEAR COLRAIN, MA",42.703,-72.67,Forest,4.253460058,0.23905104900000002,90.79571027,0.148,0.004,0.06,0.04
7060894,AR,"SULLIVAN CREEK NEAR SANDTOWN, AR",35.887,-91.641,Forest,27.025816339000002,0.34186019100000004,63.83944359499999,0.517,0.01635,0.3595,0.019195
12069550,WA,"BIG BEEF CREEK NEAR SEABECK, WA",47.64,-122.785,Forest,0,6.275600897,76.70865857599999,0.23399999999999999,0.01245,0.1395,0.02
3340000000000,SC,"MCTIER CRK BACK LEVEE POOL 5 NEAR NEW HOLLAND, SC",33.723,-81.604,Forest,12.293328806,0.537543145,50.998698581,0.204,0.0107,0.04,0.02
131199050,NY,FISHING BROOK (COUNTY LINE FLOW OUTLET) NR NEWCOMB,43.977,-74.27,Forest,0,0,86.370861649,0.388,0.013,0.06,0.02
3340000000000,SC,CONFLUENCE BOGGY BR/MCTIER CRK NEAR NEW HOLLAND SC,33.717,-81.608,Forest,12.066115703,0.522432113,50.94254230800001,0.575,0.0273,0.04,0.04606
2470500,AL,MOBILE RIVER AT MT VERNON AL,31.086,-87.977,Forest,15.642293249,2.183111566,55.262271801,0.545,0.0753,0.2198,0.02
7065040,MO,"BIG CREEK AT MAUSER MILL, MO",37.313,-91.316,Forest,0,0,97.19101123000002,0.149,0.008,0.113,0.02
3467609,TN,NOLICHUCKY RIVER NEAR LOWLAND,36.126,-83.175,Forest,21.950979431,0.654591987,67.949601335,0.8155,0.0516,0.55,0.02
435000000000000,OR,"LOST CREEK NEAR DEXTER, OR",43.869,-122.81,Forest,0.59147967,0,86.70250083699999,0.108,0.03555,0.06,0.04
1312000,NY,HUDSON RIVER NEAR NEWCOMB NY,43.966,-74.131,Forest,0.00603603,0.10352705400000001,83.4837768,0.382,0.0062,0.20550000000000002,0.022
2424000,AL,CAHABA RIVER AT CENTREVILLE AL,32.945,-87.139,Forest,7.95019491,8.456191777999999,58.819800884,0.451,0.0274,0.316,0.02
7060710,AR,"NORTH SYLAMORE CREEK NEAR FIFTY SIX, AR",35.991,-92.213,Forest,1.491893807,0.18781561,94.83507073,0.1,0.004,0.05119,0.04
435000000000000,OR,"SILK CREEK NEAR COTTAGE GROVE, OR",43.795,-123.068,Forest,4.775628023,1.436018168,59.709654193,0.2545,0.030000000000000002,0.099,0.04
14206950,OR,"FANNO CREEK AT DURHAM, OR",45.403,-122.754,Urban,0.6880759080000001,79.911032223,8.285398108999999,0.968,0.1285,0.587,0.026
11447360,CA,ARCADE C NR DEL PASO HEIGHTS CA,38.641,-121.382,Urban,0,77.927084385,0,1.286,0.2249,0.549,0.04
4087070,WI,"LITTLE MENOMONEE RIVER AT MILWAUKEE, WI",43.123,-88.043,Urban,33.55468424,39.582881454,8.831233837000001,0.653,0.1467,0.117,0.03
5288705,MN,"SHINGLE CREEK AT QUEEN AVE IN MINNEAPOLIS, MN",45.049,-93.31,Urban,1.1341127800000002,69.54197269,4.458448001,1.2115,0.0942,0.2555,0.167945
14206435,OR,"BEAVERTON CREEK AT SW 216TH AVE, NR ORENCO, OR",45.52,-122.899,Urban,0.7014995359999999,78.949497545,9.756635744,1.001,0.178,0.723,0.04
4087118,WI,"HONEY CREEK NEAR PORTLAND AVENUE AT WAUWATOSA, WI",43.042,-88.01,Urban,0.051909289,89.10553807900001,0.314700062,1.198,0.0847,0.959,0.04
455000000000000,WA,"WHIPPLE CREEK NEAR SALMON CREEK, WA",45.752,-122.714,Urban,25.265647876,31.096759656,16.963916945999998,0.9125000000000001,0.1293,0.6955,0.04
454000000000000,WA,"CURTIN CREEK NEAR VANCOUVER, WA",45.722,-122.59,Urban,15.212949025,59.01806841,1.4331038930000002,4.3309999999999995,0.07125000000000001,3.968,0.04
4087204,WI,"OAK CREEK AT SOUTH MILWAUKEE, WI",42.925,-87.87,Urban,11.647833271,55.88454774,12.884441129,1.053,0.04,0.66,0.04
12080800,WA,"WOODLAND CREEK BELOW DURHAM ROAD NEAR LACEY, WA",47.063,-122.808,Urban,2.061752418,42.834659191,24.919876382000002,1.7385000000000002,0.058800000000000005,1.5045000000000002,0.056835
446000000000000,OR,"PRINGLE CREEK AT SALEM, OR",44.93,-123.033,Urban,1.680140396,80.86251044,1.317644351,0.8845000000000001,0.0308,0.6725000000000001,0.04
4084468,WI,"GARNERS CREEK AT PARK STREET AT KAUKAUNA, WI",44.264,-88.305,Urban,16.441558438,63.995671002,3.943722944,1.486,0.09445,0.94,0.04
12102000,WA,"CLARKS CREEK AT PUYALLUP, WA",47.177,-122.317,Urban,0.957035547,65.81230159900001,10.756828111,2.7835,0.039900000000000005,2.709,0.02
2087580,NC,"SWIFT CREEK NEAR APEX, NC",35.718,-78.752,Urban,2.3779926710000003,26.614791020000002,19.256413156,0.629,0.0551,0.136,0.03734
4087213,WI,"ROOT RIVER AT LAYTON AVENUE AT GREENFIELD, WI",42.958,-88.04,Urban,1.158093947,65.14984605699999,3.75391916,1.5925000000000002,0.07150000000000001,1.0434999999999999,0.051000000000000004
12128040,WA,"PIPERS CREEK AT CARKEEK PARK, AT SEATTLE, WA",47.711,-122.373,Urban,0,84.67101531399999,10.606920022999999,2.027,0.062,1.704,0.03483
12128000,WA,"THORNTON CREEK NEAR SEATTLE, WA",47.695,-122.276,Urban,0,88.349824452000007,3.7750631109999997,1.312,0.07445,1.0325,0.03699
12120500,WA,"JUANITA CREEK NEAR KIRKLAND, WA",47.707,-122.215,Urban,0,77.67993484600001,11.116766772,1.229,0.0619,0.896,0.02
4087119,WI,"HONEY CREEK AT WAUWATOSA, WI",43.043,-88.005,Urban,0.051909289,89.10553807900001,0.314700062,1.384,0.047,1.05265,0.01284
8178800,TX,"SALADO CK AT LOOP 13, SAN ANTONIO, TX",29.357,-98.412,Urban,0.20701002899999998,36.934560189,24.600549698000002,1.133,0.1018,0.838,0.04
2234998,FL,"LITTLE WEKIVA RIVER NEAR LONGWOOD, FL",28.703,-81.392,Urban,1.225567625,44.08560343,1.252298445,0.937,0.1884,0.626,0.04
12125880,WA,"NORTH CREEK NEAR WINTERMUTES CORNER, WA",47.832,-122.225,Urban,0.129032258,65.457586617,12.296296296000001,0.907,0.065,0.593,0.01959
5532500,IL,"DES PLAINES RIVER AT RIVERSIDE, IL",41.821,-87.821,Urban,18.693687089,51.776849483999996,7.831388164,5.1615,0.6719999999999999,4.6545000000000005,0.02
8057200,TX,"WHITE RK CK AT GREENVILLE AVE, DALLAS, TX",32.889,-96.756,Urban,2.3486965609999997,78.18932376999999,2.04606604,2.229,0.2411,1.724,0.03281
2306774,FL,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,28.065,-82.565,Urban,4.547789396,22.590350392999998,0.541185104,0.745,0.0393,0.07,0.054
1403900,NJ,BOUND BROOK AT MIDDLESEX NJ,40.585,-74.507,Urban,0.19591781000000003,48.548706402,24.324527273,1.437,0.0749,1.079,0.046325000000000005
1654000,VA,"ACCOTINK CREEK NEAR ANNANDALE, VA",38.812,-77.228,Urban,0.385860455,43.514075954,24.403144687,0.941,0.0309,0.538,0.02
12119705,WA,"COAL CREEK AT BELLEVUE, WA",47.568,-122.181,Urban,0,46.519984257,36.85764914,0.752,0.0281,0.552,0.02
2335870,GA,"SOPE CREEK NEAR MARIETTA, GA",33.953,-84.443,Urban,0.62991469,36.553824338,22.147133059,0.663,0.0147,0.447,0.03273
14211315,OR,"TRYON CREEK NEAR LAKE OSWEGO, OR",45.43,-122.673,Urban,0,52.36801241900001,28.843167702000002,0.8285,0.09015000000000001,0.619,0.04
450000000000000,OR,"CLAGGETT CREEK AT KEIZER, OR",45.005,-123.024,Urban,1.153623798,90.90765753000001,0,1.2229999999999999,0.14425,0.836,0.04
5531500,IL,"SALT CREEK AT WESTERN SPRINGS, IL",41.825,-87.9,Urban,0.281091115,74.636299816,3.4007031690000002,7.1185,0.9595,6.265000000000001,0.07336000000000001
4084429,WI,"MUD CREEK AT SPENCER ROAD AT APPLETON, WI",44.258,-88.461,Urban,16.88733193,61.67121735,2.05811138,1.097,0.08904999999999999,0.588,0.0445
440000000000000,OR,"AMAZON CREEK NEAR DANEBO ROAD AT EUGENE, OR",44.049,-123.176,Urban,13.809253278,55.903504274,20.019676037,0.89,0.09820000000000001,0.28500000000000003,0.0395
4161820,MI,"CLINTON RIVER AT STERLING HEIGHTS, MI",42.614,-83.026,Urban,9.290150803,29.120227569,20.682468726,1.706,0.0633,1.0415,0.08163999999999999
1356190,NY,LISHA KILL NORTHWEST OF NISKAYUNA NY,42.783,-73.856,Urban,2.974462613,28.377732869,15.566783024,0.815,0.0307,0.467,0.04
453000000000000,OR,"KELLOGG CREEK AT MILWAUKIE, OR",45.423,-122.613,Urban,0,79.75477616100001,8.083832335,2.177,0.1015,2.021,0.04
4087270,WI,"PIKE CREEK AT 43RD STREET AT KENOSHA, WI",42.596,-87.828,Urban,6.582345191,76.95388669,3.119894598,1.8875000000000002,0.0311,1.5005,0.0355
11074000,CA,SANTA ANA R BL PRADO DAM CA,33.883,-117.645,Urban,4.831785521,21.934361943,11.602857171,4.748,1.0225,4.027,0.0512
40869415,WI,"LINCOLN CREEK AT 47TH STREET AT MILWAUKEE, WI",43.096,-87.972,Urban,0.02872371,87.12060767,1.260651709,0.838,0.19415,0.35,0.029335
